title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
Hana Residences,New Launch,Semi-detached House,Leasehold,Residential,2339000.0,4004,4,5,0,House,Telok Panglima Garang,Selangor
Hana Residences,New Launch,Semi-detached House,Leasehold,Residential,2339000.0,4004,7,8,0,House,Telok Panglima Garang,Selangor
Molek Pine 4,Open for Sale,Apartment,Freehold,Residential,710000.0,1475,2,2,2,House,Johor Bahru,Johor
Molek Pine 4,Open for Sale,Apartment,Freehold,Residential,810000.0,1700,3,3,2,House,Johor Bahru,Johor
Molek Pine 4,Open for Sale,Apartment,Freehold,Residential,2600000.0,5640,4,7,3,House,Johor Bahru,Johor
Molek Pulai Serviced Apartments,New Launch,Serviced Residence,Freehold,Residential,495000.0,947,1,1,1,House,Johor Bahru,Johor
Molek Pulai Serviced Apartments,New Launch,Serviced Residence,Freehold,Residential,525000.0,1076,2,2,2,House,Johor Bahru,Johor
Molek Pulai Serviced Apartments,New Launch,Serviced Residence,Freehold,Residential,685000.0,1431,3,3,2,House,Johor Bahru,Johor
Ponderosa Lakeside Luxury Apartments,Completed Project,Apartment,Freehold,Residential,848000.0,2228,4,4,2,House,Johor Bahru,Johor
Ponderosa Lakeside Luxury Apartments,Completed Project,Apartment,Freehold,Residential,868000.0,2281,4,4,2,House,Johor Bahru,Johor
Tropicana Alam - Phase 1A,Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,678800.0,1917,0,0,0,House,Kuala Langat,Selangor
Tropicana Alam - Phase 1A,Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,988800.0,2239,0,0,0,House,Kuala Langat,Selangor
Tropicana Alam - Phase 1A,Open for Registration,2-sty Terrace/Link House,Leasehold,Residential,783800.0,1962,0,0,0,House,Kuala Langat,Selangor
Merissa Serviced Suites,Open for Sale,Serviced Residence,Freehold,Commercial,1826000.0,1119,2,2,2,House,Pulau Langkawi,Kedah
Merissa Serviced Suites,Open for Sale,Serviced Residence,Freehold,Commercial,2271000.0,1303,2,2,2,House,Pulau Langkawi,Kedah
Merissa Serviced Suites,Open for Sale,Serviced Residence,Freehold,Commercial,1716000.0,1066,2,2,2,House,Pulau Langkawi,Kedah
Suria Garden @ Puchong by Binastra,New Launch,Serviced Residence,Freehold,Commercial,270000.0,556,2,1,2,House,Puchong,Selangor
Pinnacle SJ,New Launch,Soho,Freehold,Commercial,476800.0,550,2,2,1,House,Subang Jaya,Selangor
Pinnacle SJ,New Launch,Soho,Freehold,Commercial,461800.0,525,2,2,0,House,Subang Jaya,Selangor
Pinnacle SJ,New Launch,Soho,Freehold,Commercial,566800.0,620,2,2,1,House,Subang Jaya,Selangor
Edelweiss SOFO & Serviced Residences,Open for Sale,Serviced Residence,Leasehold,Commercial,789000.0,692,2,2,1,House,Petaling Jaya,Selangor
Edelweiss SOFO & Serviced Residences,Open for Sale,Serviced Residence,Leasehold,Commercial,1044000.0,908,3,2,2,House,Petaling Jaya,Selangor
Edelweiss SOFO & Serviced Residences,Open for Sale,Serviced Residence,Leasehold,Commercial,1035000.0,890,3,2,2,House,Petaling Jaya,Selangor
The Mate,Open for Sale,Serviced Residence,Freehold,Commercial,314800.0,273,1,1,0,House,Petaling Jaya,Selangor
The Mate,Open for Sale,Serviced Residence,Freehold,Commercial,332800.0,307,1,1,0,House,Petaling Jaya,Selangor
The Mate,Open for Sale,Serviced Residence,Freehold,Commercial,336800.0,308,1,1,0,House,Petaling Jaya,Selangor
Sena Mas @ Tasek Gelugor,Completed Project,Townhouse,Freehold,Residential,200000.0,935,3,2,0,House,Seberang Perai,Penang
Sena Mas @ Tasek Gelugor,Completed Project,Townhouse,Freehold,Residential,200000.0,1093,3,2,0,House,Seberang Perai,Penang
Sejati Lakeside 2,Open for Sale,Semi-detached House,Freehold,Residential,1528900.0,2407,4,4,0,House,Cyberjaya,Selangor
Sejati Lakeside 2,Open for Sale,Semi-detached House,Freehold,Residential,1600900.0,3059,4,4,0,House,Cyberjaya,Selangor
Tilia Encorp Cahaya Alam,New Launch,2-sty Terrace/Link House,Leasehold,Residential,1026900.0,2408,4,3,2,House,Shah Alam,Selangor
Tilia Encorp Cahaya Alam,New Launch,2-sty Terrace/Link House,Leasehold,Residential,1116900.0,2707,5,4,2,House,Shah Alam,Selangor
"The Atera, Petaling Jaya",Open for Sale,Serviced Residence,Leasehold,Commercial,633800.0,775,2,2,0,House,Petaling Jaya,Selangor
"The Atera, Petaling Jaya",Open for Sale,Serviced Residence,Leasehold,Commercial,803200.0,1022,3,2,0,House,Petaling Jaya,Selangor
